School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Dallas Christian College,75234-7299,Dallas,TX,23.63%,Data Not Available,Data Not Available,192,21.57%," $26,625.00 "," $34,942.00 ",Data Not Available
Dallas Theological Seminary,75204,Dallas,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Dalton State College,30720-3797,Dalton,GA,Data Not Available,Data Not Available,Data Not Available,4366,28.96%," $13,200.00 "," $31,354.00 ",46.69%
Dartmouth College,03755-3529,Hanover,NH,9.22%,34,1500,4146,94.86%," $17,000.00 "," $70,635.00 ",91.29%
Davenport University,49512-9396,Grand Rapids,MI,92.56%,Data Not Available,Data Not Available,4508,52.18%," $26,512.00 "," $34,703.00 ",79.22%
Davidson College,28035,Davidson,NC,20.00%,32,1402,1979,93.03%," $19,500.00 "," $51,554.00 ",88.04%
Davis & Elkins College,26241-3996,Elkins,WV,69.05%,Data Not Available,Data Not Available,702,47.85%," $27,000.00 "," $30,339.00 ",73.49%
Davis College,13790-2700,Johnson City,NY,28.57%,Data Not Available,Data Not Available,43,43.75%," $21,250.00 "," $26,042.00 ",Data Not Available
Daytona State College,32114,Daytona Beach,FL,Data Not Available,Data Not Available,Data Not Available,9821,42.81%," $8,560.00 "," $27,990.00 ",37.73%
DePaul University,60604,Chicago,IL,70.24%,Data Not Available,Data Not Available,14009,71.24%," $24,115.00 "," $51,054.00 ",88.64%
DePauw University,46135-1772,Greencastle,IN,68.49%,26,1235,1731,87.33%," $27,000.00 "," $46,840.00 ",87.17%
DeSales University,18034-9568,Center Valley,PA,81.77%,25,1139,2352,64.78%," $25,252.00 "," $49,374.00 ",86.70%
Dean College,02038-1941,Franklin,MA,70.52%,Data Not Available,Data Not Available,1166,51.58%," $25,000.00 "," $25,641.00 ",82.75%
Defiance College,43512,Defiance,OH,54.92%,19,1005,541,45.49%," $27,000.00 "," $38,157.00 ",75.89%
Delaware State University,19901,Dover,DE,39.34%,20,923,3881,48.06%," $26,000.00 "," $35,178.00 ",70.89%
Delaware Technical Community College-Terry,19901,Dover,DE,Data Not Available,Data Not Available,Data Not Available,11209,17.66%," $9,000.00 "," $30,917.00 ",61.15%
Delaware Valley University,18901-2697,Doylestown,PA,91.58%,22,1052,1706,54.62%," $25,000.00 "," $38,839.00 ",83.07%
Dell'Arte International School of Physical Theatre,95525-0816,Blue Lake,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Delta State University,38733,Cleveland,MS,99.61%,21,1063,1933,39.01%," $21,132.00 "," $31,541.00 ",53.96%
Denison University,43023,Granville,OH,28.17%,30,1350,2253,80.46%," $25,000.00 "," $45,217.00 ",89.34%
Denver Seminary,80120,Littleton,CO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Des Moines University-Osteopathic Medical Center,50312,Des Moines,IA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Dewey University-Carolina,986,Carolina,PR,Data Not Available,Data Not Available,Data Not Available,345,64.81%," $5,167.00 "," $16,391.00 ",Data Not Available
Dewey University-Hato Rey,910,Hato Rey,PR,Data Not Available,Data Not Available,Data Not Available,363,78.53%," $5,167.00 "," $16,391.00 ",Data Not Available
Dewey University-Juana Diaz,910,Juana Diaz,PR,Data Not Available,Data Not Available,Data Not Available,125,72.26%," $5,167.00 "," $16,391.00 ",Data Not Available
Dewey University-Manati,00674-0000,Manati,PR,Data Not Available,Data Not Available,Data Not Available,241,81.86%," $5,167.00 "," $16,391.00 ",Data Not Available
Dickinson College,17013-2896,Carlisle,PA,51.65%,Data Not Available,Data Not Available,1899,83.98%," $19,000.00 "," $51,355.00 ",93.32%
Dickinson State University,58601-4896,Dickinson,ND,98.62%,20,1031,1171,36.26%," $18,700.00 "," $39,775.00 ",86.44%
Dillard University,70122,New Orleans,LA,65.31%,20,1044,1214,49.54%," $31,250.00 "," $29,132.00 ",56.19%
Dine College,86556,Tsaile,AZ,Data Not Available,Data Not Available,Data Not Available,1260,20.21%, Data Not Available ," $22,467.00 ",21.33%
Divine Mercy University,20166,Sterling,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Divine Word College,52045,Epworth,IA,100.00%,Data Not Available,Data Not Available,69,50.00%, Data Not Available , Data Not Available ,Data Not Available
Dixie State University,84770-3876,Saint George,UT,Data Not Available,Data Not Available,Data Not Available,8812,34.56%," $15,021.00 "," $32,562.00 ",71.42%
Doane University,68333,Crete,NE,68.80%,Data Not Available,Data Not Available,1250,60.07%," $25,000.00 "," $42,038.00 ",85.56%
Dominican College of Blauvelt,10962-1210,Orangeburg,NY,74.62%,Data Not Available,Data Not Available,1304,47.75%," $25,444.00 "," $47,363.00 ",81.99%
Dominican School of Philosophy & Theology,94708-1816,Berkeley,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Dominican University,60305,River Forest,IL,76.46%,22,1072,2155,63.00%," $25,000.00 "," $44,152.00 ",79.41%
Dominican University of California,94901-2298,San Rafael,CA,85.74%,24,1162,1374,74.33%," $27,000.00 "," $63,540.00 ",92.35%
Dongguk University Los Angeles,90020-1704,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,3,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Donnelly College,66102,Kansas City,KS,Data Not Available,Data Not Available,Data Not Available,317,12.93%," $13,000.00 "," $28,178.00 ",Data Not Available
Dordt University,51250-1606,Sioux Center,IA,71.84%,25,1209,1354,65.55%," $21,500.00 "," $41,889.00 ",86.44%
Dragon Rises College of Oriental Medicine,32601,Gainesville,FL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Drake University,50311-4505,Des Moines,IA,67.92%,27,1254,2814,77.79%," $22,625.00 "," $54,644.00 ",91.06%
Drew University,7940,Madison,NJ,73.15%,Data Not Available,Data Not Available,1541,68.77%," $26,222.00 "," $43,256.00 ",90.30%
Drexel University,19104,Philadelphia,PA,77.19%,28,1287,14492,70.82%," $26,000.00 "," $64,777.00 ",91.00%
Drury University,65802-3791,Springfield,MO,70.68%,25,1208,1404,59.61%," $20,500.00 "," $32,347.00 ",71.76%
Drury University-College of Continuing Professional Studies,65802,Springfield,MO,Data Not Available,Data Not Available,Data Not Available,972,31.25%," $20,500.00 "," $32,347.00 ",Data Not Available
Duke University,27708,Durham,NC,7.74%,35,1530,6650,95.52%," $13,500.00 "," $77,260.00 ",85.81%
Dunwoody College of Technology,55403-1192,Minneapolis,MN,97.38%,Data Not Available,Data Not Available,1274,49.19%," $16,000.00 "," $52,848.00 ",Data Not Available
Duquesne University,15282,Pittsburgh,PA,77.19%,26,1207,5373,79.34%," $26,988.00 "," $56,932.00 ",84.14%
EDP University of Puerto Rico Inc-San Juan,00919-2303,San Juan,PR,55.80%,Data Not Available,Data Not Available,1233,38.46%," $11,400.00 "," $20,282.00 ",Data Not Available
EDP University of Puerto Rico Inc-San Sebastian,685,San Sebastian,PR,95.14%,Data Not Available,Data Not Available,917,62.86%," $11,400.00 "," $20,282.00 ",Data Not Available
EDP University of Puerto Rico-Manati,00674-0000,Manati,PR,67.69%,Data Not Available,Data Not Available,270,Data Not Available," $11,400.00 ", Data Not Available ,Data Not Available
Earlham College,47374-4095,Richmond,IN,59.10%,27,1236,736,67.41%," $24,250.00 "," $30,866.00 ",Data Not Available
East Carolina University,27858-4353,Greenville,NC,87.92%,22,1100,21766,65.21%," $23,311.00 "," $41,603.00 ",71.34%
East Central University,74820-6999,Ada,OK,96.45%,21,1079,2815,39.15%," $18,250.00 "," $35,594.00 ",76.79%
East Georgia State College,30401,Swainsboro,GA,Data Not Available,Data Not Available,Data Not Available,2078,13.67%," $11,500.00 "," $28,504.00 ",31.16%
East Stroudsburg University of Pennsylvania,18301-2999,East Stroudsburg,PA,90.50%,20,1007,4921,50.40%," $24,380.00 "," $42,455.00 ",82.42%
East Tennessee State University,37614,Johnson City,TN,78.38%,24,1167,10705,49.63%," $19,500.00 "," $33,204.00 ",67.41%
East Texas Baptist University,75670-1498,Marshall,TX,92.07%,Data Not Available,Data Not Available,1373,34.71%," $23,250.00 "," $37,416.00 ",83.24%
East-West University,60605,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,419,17.56%," $28,810.00 "," $24,105.00 ",Data Not Available
Eastern Connecticut State University,6226,Willimantic,CT,69.70%,Data Not Available,Data Not Available,4104,55.92%," $23,700.00 "," $43,081.00 ",82.57%
Eastern Florida State College,32922,Cocoa,FL,Data Not Available,Data Not Available,Data Not Available,10590,47.02%," $12,000.00 "," $28,261.00 ",45.19%
Eastern Illinois University,61920,Charleston,IL,55.54%,21,1058,4698,50.80%," $21,900.00 "," $39,262.00 ",80.61%
Eastern Kentucky University,40475-3102,Richmond,KY,97.95%,22,1116,11255,45.22%," $22,760.00 "," $34,723.00 ",73.58%
Eastern Mennonite University,22802-2462,Harrisonburg,VA,71.82%,26,1129,891,60.42%," $25,000.00 "," $41,387.00 ",83.80%
Eastern Michigan University,48197,Ypsilanti,MI,75.18%,23,1098,13148,46.95%," $25,000.00 "," $39,128.00 ",67.38%
Eastern Nazarene College,02170-2999,Quincy,MA,64.38%,20,1030,541,38.10%," $26,000.00 "," $35,200.00 ",86.36%
Eastern New Mexico University-Main Campus,88130,Portales,NM,50.60%,20,1051,3129,36.15%," $16,000.00 "," $29,278.00 ",56.67%
Eastern Oregon University,97850,La Grande,OR,94.25%,Data Not Available,Data Not Available,2415,28.01%," $20,458.00 "," $39,575.00 ",63.56%
Eastern University,19087-3696,Saint Davids,PA,64.25%,22,1104,1823,57.56%," $25,432.00 "," $36,879.00 ",86.76%
Eastern Virginia Medical School,23507,Norfolk,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Eastern Washington University,99004-2496,Cheney,WA,78.94%,20,993,8845,53.15%," $19,115.00 "," $42,800.00 ",75.21%
Ecclesia College,72762,Springdale,AR,76.39%,Data Not Available,Data Not Available,189,25.00%," $14,109.00 "," $29,398.00 ",Data Not Available
Eckerd College,33711-4700,Saint Petersburg,FL,68.58%,Data Not Available,Data Not Available,1819,64.51%," $26,940.00 "," $36,733.00 ",85.35%
Ecumenical Theological Seminary,48201-3035,Detroit,MI,Data Not Available,Data Not Available,Data Not Available,8,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Eden Theological Seminary,63119-3192,Webster Groves,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Edgewood College,53711-1997,Madison,WI,91.20%,Data Not Available,Data Not Available,1339,65.05%," $24,431.00 "," $44,169.00 ",88.57%
Edinboro University of Pennsylvania,16444-0001,Edinboro,PA,85.03%,21,1061,2995,43.48%," $26,000.00 "," $33,322.00 ",71.72%
Edmonds College,98036-5912,Lynnwood,WA,Data Not Available,Data Not Available,Data Not Available,3259,29.64%," $11,250.00 "," $38,523.00 ",71.32%
Edward Via College of Osteopathic Medicine,24060,Blacksburg,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Edward Waters University,32209,Jacksonville,FL,57.03%,16,903,969,27.92%, Data Not Available ," $25,404.00 ",Data Not Available
Elizabeth City State University,27909,Elizabeth City,NC,74.83%,17,929,1784,43.14%," $23,000.00 "," $30,151.00 ",50.73%
Elizabethtown College,17022-2298,Elizabethtown,PA,85.73%,23,1176,1649,72.26%," $27,000.00 "," $48,470.00 ",88.22%
Elmezzi Graduate School of Molecular Medicine,11030-3816,Manhasset,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Elmhurst University,60126-3296,Elmhurst,IL,65.53%,23,1096,2744,68.43%," $20,068.00 "," $47,000.00 ",86.08%
Elmira College,14901,Elmira,NY,83.13%,22,1103,713,67.78%," $27,000.00 "," $44,979.00 ",84.59%
Elon University,27244-2010,Elon,NC,71.70%,28,1258,6291,82.77%," $20,500.00 "," $49,734.00 ",90.93%
Embry-Riddle Aeronautical University-Daytona Beach,32114-3900,Daytona Beach,FL,60.60%,27,1240,6399,61.51%," $24,250.00 "," $62,242.00 ",77.59%
Embry-Riddle Aeronautical University-Prescott,86301-3720,Prescott,AZ,66.85%,26,1238,2959,59.16%," $24,250.00 "," $62,242.00 ",80.06%
Embry-Riddle Aeronautical University-Worldwide,32114-3900,Daytona Beach,FL,62.72%,Data Not Available,Data Not Available,10070,23.47%," $24,250.00 "," $62,242.00 ",Data Not Available
Emerson College,02116-4624,Boston,MA,41.05%,29,1302,3702,78.53%," $23,250.00 "," $44,415.00 ",94.82%
Emmanuel College,2115,Boston,MA,75.52%,26,1202,1785,61.64%," $27,000.00 "," $49,367.00 ",91.17%
Emmanuel College,30639,Franklin Springs,GA,52.75%,Data Not Available,1005,779,38.86%," $24,728.00 "," $27,433.00 ",62.77%
Emmaus Bible College,52001-3096,Dubuque,IA,92.11%,23,1117,175,83.33%," $17,250.00 "," $28,962.00 ",Data Not Available
Emory & Henry College,24327-0947,Emory,VA,75.41%,21,1066,943,54.04%," $27,000.00 "," $36,707.00 ",75.33%
Emory University,30322,Atlanta,GA,19.17%,33,1459,6978,90.27%," $16,556.00 "," $61,633.00 ",89.08%
Emporia State University,66801-5415,Emporia,KS,86.08%,Data Not Available,Data Not Available,3081,46.31%," $19,500.00 "," $37,417.00 ",79.00%
Endicott College,1915,Beverly,MA,70.40%,Data Not Available,Data Not Available,3003,78.51%," $27,000.00 "," $47,887.00 ",93.59%
Episcopal Theological Seminary of the Southwest,78705,Austin,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Erikson Institute,60654-4510,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Erskine College,29639,Due West,SC,60.00%,19,1012,809,51.87%," $27,000.00 "," $37,575.00 ",74.99%
Escuela de Artes Plasticas y Diseno de Puerto Rico,00902-1112,San Juan,PR,88.64%,Data Not Available,Data Not Available,405,15.38%, Data Not Available ," $17,476.00 ",Data Not Available
Eureka College,61530,Eureka,IL,61.36%,20,1026,505,60.12%," $25,000.00 "," $38,773.00 ",82.48%
Evangel University,65802-2125,Springfield,MO,95.42%,Data Not Available,Data Not Available,1480,54.71%," $24,000.00 "," $33,451.00 ",86.30%
Evangelical Theological Seminary,17067-1222,Myerstown,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Everglades University,33431,Boca Raton,FL,75.19%,Data Not Available,Data Not Available,1877,58.10%," $40,625.00 "," $37,614.00 ",Data Not Available
Excelsior College,12203-5159,Albany,NY,Data Not Available,Data Not Available,Data Not Available,19624,Data Not Available," $13,000.00 "," $61,752.00 ",Data Not Available
Fairfax University of America,22030-0000,Fairfax,VA,Data Not Available,Data Not Available,Data Not Available,17,16.67%, Data Not Available , Data Not Available ,Data Not Available
Fairfield University,06824-5195,Fairfield,CT,56.13%,29,1281,4319,82.37%," $26,322.00 "," $66,244.00 ",91.11%
Fairleigh Dickinson University-Florham Campus,7940,Madison,NJ,86.32%,Data Not Available,Data Not Available,2586,63.40%," $25,000.00 "," $43,453.00 ",Data Not Available
Fairleigh Dickinson University-Metropolitan Campus,7666,Teaneck,NJ,88.87%,Data Not Available,Data Not Available,2878,53.17%," $25,000.00 "," $43,453.00 ",82.17%
Fairmont State University,26554-2470,Fairmont,WV,94.34%,20,1020,3298,35.24%," $21,250.00 "," $34,102.00 ",72.69%
Faith Baptist Bible College and Theological Seminary,50023-2152,Ankeny,IA,67.60%,23,1152,288,51.72%," $10,000.00 "," $28,349.00 ",77.55%
Faith International University,98407-0186,Tacoma,WA,Data Not Available,Data Not Available,Data Not Available,139,33.33%," $18,000.00 "," $40,996.00 ",Data Not Available
Family of Faith Christian University,74802,Shawnee,OK,31.25%,Data Not Available,Data Not Available,23,0.00%, Data Not Available , Data Not Available ,Data Not Available
Farmingdale State College,11735-1021,Farmingdale,NY,60.16%,22,1075,9462,53.20%," $14,889.00 "," $53,647.00 ",86.21%
Fashion Institute of Technology,10001-5992,New York,NY,58.98%,Data Not Available,Data Not Available,7683,83.00%," $13,000.00 "," $50,916.00 ",91.13%
Faulkner University,36109-3390,Montgomery,AL,75.76%,21,1068,1834,27.11%," $23,000.00 "," $32,902.00 ",65.48%
Fayetteville State University,28301-4298,Fayetteville,NC,79.38%,18,948,5061,36.32%," $22,890.00 "," $31,480.00 ",41.85%
Feather River Community College District,95971-9124,Quincy,CA,Data Not Available,Data Not Available,Data Not Available,1173,29.50%," $11,375.00 "," $28,983.00 ",59.03%
Felician University,7644,Lodi,NJ,93.55%,19,973,1954,53.70%," $25,591.00 "," $44,483.00 ",80.68%
Ferris State University,49307-2251,Big Rapids,MI,82.46%,22,1058,9575,50.05%," $21,250.00 "," $43,412.00 ",76.26%
Ferrum College,24088-9000,Ferrum,VA,75.83%,17,979,962,31.79%," $27,000.00 "," $32,202.00 ",71.27%
Fielding Graduate University,93105-3538,Santa Barbara,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Finlandia University,49930-1832,Hancock,MI,83.00%,Data Not Available,Data Not Available,379,25.71%," $21,100.00 "," $31,363.00 ",64.19%
Fisher College,2116,Boston,MA,77.72%,17,938,1179,34.92%," $25,437.00 "," $36,796.00 ",Data Not Available
Fisk University,37208-4501,Nashville,TN,66.46%,23,1122,879,50.51%," $27,000.00 "," $30,884.00 ",72.27%
Fitchburg State University,01420-2697,Fitchburg,MA,87.99%,Data Not Available,Data Not Available,3582,57.92%," $24,687.00 "," $42,587.00 ",87.74%
Flagler College,32084,Saint Augustine,FL,56.49%,22,1125,2671,57.65%," $23,250.00 "," $38,042.00 ",76.12%
Florida Agricultural and Mechanical University,32307,Tallahassee,FL,32.98%,22,1101,7072,55.23%," $25,000.00 "," $33,022.00 ",56.55%
Florida Atlantic University,33431-0991,Boca Raton,FL,74.78%,24,1147,24396,55.92%," $17,500.00 "," $43,006.00 ",74.49%
Florida College,33617,Temple Terrace,FL,76.34%,22,1107,488,54.25%," $12,000.00 "," $33,351.00 ",83.89%
Florida Gateway College,32025-2007,Lake City,FL,Data Not Available,Data Not Available,Data Not Available,2139,55.74%," $6,750.00 "," $28,870.00 ",48.31%
Florida Gulf Coast University,33965-6565,Fort Myers,FL,77.49%,23,1142,13530,52.74%," $18,529.00 "," $41,109.00 ",74.74%
Florida Institute of Technology,32901-6975,Melbourne,FL,70.37%,27,1241,3188,60.31%," $27,000.00 "," $31,824.00 ",75.54%
Florida Institute of Technology-Online,32901-6975,Melbourne,FL,100.00%,Data Not Available,Data Not Available,1100,Data Not Available," $27,000.00 "," $31,824.00 ",Data Not Available
Florida International University,33199,Miami,FL,57.88%,26,1190,41220,66.98%," $17,418.00 "," $44,401.00 ",76.78%
Florida Memorial University,33054-6199,Miami Gardens,FL,38.41%,Data Not Available,Data Not Available,887,34.86%," $31,000.00 "," $27,008.00 ",53.59%
Florida Polytechnic University,33805-8531,Lakeland,FL,58.44%,30,1314,1290,50.13%," $11,000.00 ", Data Not Available ,Data Not Available
Florida SouthWestern State College,33919,Fort Myers,FL,Data Not Available,Data Not Available,Data Not Available,11682,36.94%," $8,050.00 "," $33,407.00 ",45.97%
Florida Southern College,33801-5698,Lakeland,FL,50.37%,27,1230,2724,68.35%," $25,000.00 "," $42,919.00 ",82.52%
Florida State College at Jacksonville,32202,Jacksonville,FL,Data Not Available,Data Not Available,Data Not Available,19053,40.42%," $14,058.00 "," $31,497.00 ",47.44%
Florida State University,32306-1037,Tallahassee,FL,32.45%,29,1308,32384,84.16%," $18,750.00 "," $45,061.00 ",77.62%
Fontbonne University,63105-3098,Saint Louis,MO,85.36%,20,1050,810,65.77%," $25,000.00 "," $38,709.00 ",84.21%
Foothill College,94022,Los Altos Hills,CA,Data Not Available,Data Not Available,Data Not Available,12519,58.99%," $10,500.00 "," $45,865.00 ",Data Not Available
Fordham University,10458,Bronx,NY,52.53%,30,1334,9099,83.17%," $25,000.00 "," $58,330.00 ",92.66%
Fort Hays State University,67601-4099,Hays,KS,91.35%,Data Not Available,Data Not Available,11916,45.73%," $20,600.00 "," $38,240.00 ",Data Not Available
Fort Lewis College,81301-3999,Durango,CO,91.51%,19,1037,3205,42.21%," $18,013.00 "," $34,192.00 ",75.61%
Fort Valley State University,31030-4313,Fort Valley,GA,72.32%,Data Not Available,Data Not Available,2767,43.32%," $31,000.00 "," $26,636.00 ",45.44%
Framingham State University,01701-9101,Framingham,MA,78.53%,22,1044,3384,60.65%," $25,000.00 "," $43,426.00 ",87.66%
Francis Marion University,29506,Florence,SC,75.25%,18,990,3025,44.05%," $27,000.00 "," $32,336.00 ",52.31%
Franciscan Missionaries of Our Lady University,70808,Baton Rouge,LA,46.65%,22,1120,944,38.20%," $27,312.00 "," $49,307.00 ",83.85%
Franciscan School of Theology,92110,San Diego,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Franciscan University of Steubenville,43952-1763,Steubenville,OH,73.00%,26,1204,2340,78.70%," $23,250.00 "," $40,389.00 ",79.20%
Franklin College,46131-2623,Franklin,IN,76.07%,22,1076,912,63.30%," $27,000.00 "," $42,262.00 ",84.23%
Franklin Pierce University,03461-0060,Rindge,NH,84.68%,Data Not Available,Data Not Available,1434,51.08%," $27,000.00 "," $35,595.00 ",87.39%
Franklin University,43215-5399,Columbus,OH,Data Not Available,Data Not Available,Data Not Available,3738,41.80%," $20,836.00 "," $40,513.00 ",Data Not Available
Franklin W Olin College of Engineering,02492-1200,Needham,MA,16.44%,35,1521,290,93.67%," $15,846.00 "," $98,699.00 ",Data Not Available
Franklin and Marshall College,17604-3003,Lancaster,PA,36.50%,Data Not Available,Data Not Available,2242,85.25%," $19,500.00 "," $54,904.00 ",90.38%
Freed-Hardeman University,38340-2399,Henderson,TN,80.85%,24,1185,1360,65.59%," $21,500.00 "," $35,432.00 ",86.62%
Fresno Pacific University,93702-4709,Fresno,CA,66.94%,19,1019,2711,67.36%," $23,219.00 "," $42,603.00 ",74.70%
Friends University,67213,Wichita,KS,57.54%,21,1081,999,41.99%," $23,000.00 "," $38,504.00 ",82.19%
Frontier Nursing University,40383,Versailles,KY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Frostburg State University,21532-1099,Frostburg,MD,73.61%,20,1024,3749,52.77%," $22,250.00 "," $39,374.00 ",82.54%
Fuller Theological Seminary,91182,Pasadena,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Furman University,29613-6162,Greenville,SC,65.25%,31,1356,2341,80.91%," $23,731.00 "," $45,496.00 ",87.03%
Future Generations University,26807-0000,Franklin,WV,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Gallaudet University,20002-3695,Washington,DC,62.62%,16,904,1004,43.65%," $18,935.00 "," $28,704.00 ",75.48%
Gannon University,16541-0001,Erie,PA,79.24%,23,1113,2786,68.41%," $27,000.00 "," $44,904.00 ",76.95%
Gardner-Webb University,28017-0997,Boiling Springs,NC,77.95%,22,1074,2059,56.07%," $23,697.00 "," $37,522.00 ",70.33%
Garrett-Evangelical Theological Seminary,60201-3298,Evanston,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Geisinger Commonwealth School of Medicine,18509,Scranton,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Geneva College,15010-3599,Beaver Falls,PA,73.14%,Data Not Available,Data Not Available,1102,72.12%," $25,214.00 "," $37,554.00 ",78.64%
George Fox University,97132,Newberg,OR,90.91%,24,1138,2451,66.03%," $23,250.00 "," $43,978.00 ",83.17%
George Mason University,22030-4444,Fairfax,VA,89.20%,27,1208,26514,71.59%," $19,750.00 "," $55,303.00 ",87.53%
George Washington University,20052,Washington,DC,43.04%,32,1385,11106,85.21%," $20,500.00 "," $62,584.00 ",91.93%
Georgetown College,40324-1696,Georgetown,KY,72.16%,Data Not Available,Data Not Available,1076,55.72%," $26,270.00 "," $36,010.00 ",84.55%
Georgetown University,20057-0001,Washington,DC,16.81%,33,1473,7119,94.22%," $16,500.00 "," $71,107.00 ",93.77%
Georgia College & State University,31061,Milledgeville,GA,85.94%,25,1194,5549,61.72%," $22,500.00 "," $44,706.00 ",79.27%
Georgia Gwinnett College,30043,Lawrenceville,GA,94.51%,Data Not Available,Data Not Available,11013,17.75%," $20,467.00 "," $33,779.00 ",58.72%
Georgia Highlands College,30161-3897,Rome,GA,Data Not Available,Data Not Available,Data Not Available,5141,13.23%," $11,104.00 "," $32,354.00 ",53.75%
Georgia Institute of Technology-Main Campus,30332-0530,Atlanta,GA,21.34%,33,1465,15743,90.71%," $22,250.00 "," $78,659.00 ",84.99%
Georgia Military College,31061,Milledgeville,GA,Data Not Available,Data Not Available,Data Not Available,4779,29.42%," $8,694.00 "," $28,845.00 ",39.74%
Georgia Southern University,30460-8126,Statesboro,GA,91.17%,21,1083,22275,53.66%," $23,250.00 "," $39,820.00 ",68.62%
Georgia Southwestern State University,31709-4693,Americus,GA,73.40%,21,1040,2201,36.27%," $20,100.00 "," $38,154.00 ",57.74%
Georgia State University,30303-3083,Atlanta,GA,82.39%,23,1147,28085,53.13%," $21,500.00 "," $34,072.00 ",64.02%
Georgian Court University,08701-2697,Lakewood,NJ,80.90%,20,1039,1419,57.02%," $21,250.00 "," $38,566.00 ",76.51%
Gettysburg College,17325,Gettysburg,PA,48.24%,Data Not Available,Data Not Available,2507,84.44%," $26,930.00 "," $55,129.00 ",91.15%
Glasgow Caledonian New York College,10012,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Glenville State University,26351-1292,Glenville,WV,Data Not Available,Data Not Available,Data Not Available,1227,32.26%," $24,000.00 "," $32,386.00 ",Data Not Available
Goddard College,05667-9432,Plainfield,VT,83.87%,Data Not Available,Data Not Available,155,37.50%," $21,375.00 "," $30,382.00 ",Data Not Available
Gods Bible School and College,45202-6838,Cincinnati,OH,81.40%,Data Not Available,Data Not Available,225,43.24%," $6,500.00 "," $26,614.00 ",Data Not Available
Golden Gate University,94105-2968,San Francisco,CA,Data Not Available,Data Not Available,Data Not Available,586,Data Not Available," $30,625.00 "," $75,134.00 ",Data Not Available
Goldey-Beacom College,19808,Wilmington,DE,55.21%,Data Not Available,Data Not Available,676,51.25%," $19,173.00 "," $41,321.00 ",76.09%
Gonzaga University,99258-0001,Spokane,WA,72.89%,28,1272,4836,87.97%," $24,250.00 "," $62,373.00 ",88.61%
Good Samaritan College of Nursing and Health Science,45220-2489,Cincinnati,OH,34.62%,22,1100,353,28.57%," $20,843.00 "," $52,923.00 ",Data Not Available
Goodwin University,6118,East Hartford,CT,Data Not Available,Data Not Available,Data Not Available,2918,46.93%," $31,096.00 "," $35,195.00 ",45.35%
